id,title,price_chf,rooms,size_m2,plz,city,canton,street,listing_type,latitude,longitude,url,scraped_at,chf_per_m2
503656,"Riehenring 145, 4058 Basel - CHF 2’770 inkl. NK pro Monat",2770,4.5,94.0,4058,Basel,Basel-Stadt,Riehenring 145,DUPLEX,47.56781921,7.5972632,https://flatfox.ch/de/wohnung/riehenring-145-4058-basel/503656/,2026-05-17T01:42:29+00:00,29.46808510638298
619169,"Rue de la Gare 32, 2720 Tramelan - CHF 1’320 inkl. NK pro Monat",1320,4.0,103.0,2720,Tramelan,Bern,Rue de la Gare 32,APARTMENT,47.2231412,7.10402594,https://flatfox.ch/de/wohnung/rue-de-la-gare-32-2720-tramelan/619169/,2026-05-17T01:42:31+00:00,12.815533980582524
628957,"Rue du - Juin 70 70B 23-juin, 2905 Courtedoux - CHF 1’380 inkl. NK pro Monat",1380,4.0,98.0,2905,Courtedoux,Jura,Rue du - Juin 70 70B 23-juin,APARTMENT,47.4097469,7.04389886,https://flatfox.ch/de/wohnung/rue-du-juin-70-70b-23-juin-2905-courtedoux/628957/,2026-05-17T01:42:33+00:00,14.081632653061224
708976,"Via Angelo Nessi 13, 6600 Locarno - CHF 1’820 inkl. NK pro Monat",1820,5.5,112.0,6600,Locarno,Ticino,Via Angelo Nessi 13,APARTMENT,46.16360435,8.79346851,https://flatfox.ch/de/wohnung/via-angelo-nessi-13-6600-locarno/708976/,2026-05-17T01:42:35+00:00,16.25
725362,"Via Alighieri 22, 6830 Chiasso - CHF 1’820 inkl. NK pro Monat",1820,5.0,150.0,6830,Chiasso,Ticino,Via Alighieri 22,APARTMENT,45.83798246,9.02382119,https://flatfox.ch/de/wohnung/via-alighieri-22-6830-chiasso/725362/,2026-05-17T01:42:35+00:00,12.133333333333333
810167,"Signalstrasse 5, 9400 Rorschach - CHF 1’650 inkl. NK pro Monat",1650,4.5,103.0,9400,Rorschach,St. Gallen,Signalstrasse 5,DUPLEX,47.47786287,9.49227031,https://flatfox.ch/de/wohnung/signalstrasse-5-9400-rorschach/810167/,2026-05-17T01:42:38+00:00,16.019417475728154
843382,"Viale Officina 15, 6500 Bellinzona - CHF 1’690 inkl. NK pro Monat",1690,3.5,74.0,6500,Bellinzona,Ticino,Viale Officina 15,APARTMENT,46.19851859,9.02928516,https://flatfox.ch/de/wohnung/viale-officina-15-6500-bellinzona/843382/,2026-05-17T01:42:38+00:00,22.83783783783784
849501,"Burgfeldermattweg 15, 4123 Allschwil - CHF 1’520 inkl. NK pro Monat",1520,3.5,65.0,4123,Allschwil,Basel-Landschaft,Burgfeldermattweg 15,APARTMENT,47.55407518,7.53953573,https://flatfox.ch/de/wohnung/burgfeldermattweg-15-4123-allschwil/849501/,2026-05-17T01:42:39+00:00,23.384615384615383
893807,"Langgasse 153, 9008 St. Gallen - CHF 1’700 inkl. NK pro Monat",1700,4.5,98.0,9008,St. Gallen,St. Gallen,Langgasse 153,APARTMENT,47.44917187,9.39755819,https://flatfox.ch/de/wohnung/langgasse-153-9008-st-gallen/893807/,2026-05-17T01:42:39+00:00,17.346938775510203
900977,"Haldenstr. 10, 8320 Fehraltorf - CHF 2’150 inkl. NK pro Monat",2150,3.5,76.0,8320,Fehraltorf,Zurich,Haldenstr. 10,APARTMENT,47.3860675,8.7581294,https://flatfox.ch/de/wohnung/haldenstr-10-8320-fehraltorf/900977/,2026-05-17T01:42:39+00:00,28.289473684210527
917195,"Via Attilio Tarchini 15, 6828 Balerna - CHF 1’600 inkl. NK pro Monat",1600,4.5,115.0,6828,Balerna,Ticino,Via Attilio Tarchini 15,APARTMENT,45.8455799,9.00235635,https://flatfox.ch/de/wohnung/via-attilio-tarchini-15-6828-balerna/917195/,2026-05-17T01:42:41+00:00,13.91304347826087
968788,"Piazza S. Stefano 5, 6862 Rancate - CHF 1’230 inkl. NK pro Monat",1230,3.0,65.0,6862,Rancate,Ticino,Piazza S. Stefano 5,APARTMENT,45.87195056,8.96862299,https://flatfox.ch/de/wohnung/piazza-s-stefano-5-6862-rancate/968788/,2026-05-17T01:42:43+00:00,18.923076923076923
971886,"Via Campagna Adorna 17, 6850 Mendrisio - CHF 1’140 inkl. NK pro Monat",1140,2.5,57.0,6850,Mendrisio,Ticino,Via Campagna Adorna 17,APARTMENT,45.86277034,8.97335445,https://flatfox.ch/de/wohnung/via-campagna-adorna-17-6850-mendrisio/971886/,2026-05-17T01:42:43+00:00,20.0
1016295,"Rue du - Juin 70 70B 23-juin, 2905 Courtedoux - CHF 980 inkl. NK pro Monat",980,2.0,64.0,2905,Courtedoux,Jura,Rue du - Juin 70 70B 23-juin,APARTMENT,47.4097469,7.04389886,https://flatfox.ch/de/wohnung/rue-du-juin-70-70b-23-juin-2905-courtedoux/1016295/,2026-05-17T01:42:44+00:00,15.3125
1016457,"Kupferschmied 9, 4663 Aarburg - CHF 1’720 inkl. NK pro Monat",1720,3.5,86.0,4663,Aarburg,Aargau,Kupferschmied 9,ROOF_FLAT,47.32844826,7.89933362,https://flatfox.ch/de/wohnung/kupferschmied-9-4663-aarburg/1016457/,2026-05-17T01:42:44+00:00,20.0
1018732,"Via Geretta 18, 6900 Paradiso - CHF 2’840 inkl. NK pro Monat",2840,3.5,79.0,6900,Paradiso,Ticino,Via Geretta 18,APARTMENT,45.99153068,8.94399791,https://flatfox.ch/de/wohnung/via-geretta-18-6900-paradiso/1018732/,2026-05-17T01:42:44+00:00,35.949367088607595
